date,i,symbol,Open,High,Low,Adj Close,Volume,OpenInterest,nifty,niftyHigh,niftyLow,option_type,strike,expiry
2023-05-30 09:21:46+05:30,144,NIFTY01JUN2318400CE,245.4,245.4,245.4,245.4,350,2532000.0,18627.25,18627.25,18627.25,CE,18400,2023-06-01
2023-05-30 09:21:48+05:30,145,NIFTY01JUN2318400CE,246.15,246.7,246.0,246.0,2050,2532000.0,18626.95,18626.95,18626.95,CE,18400,2023-06-01
2023-05-30 09:21:50+05:30,146,NIFTY01JUN2318400CE,245.9,246.9,245.5,245.5,1150,2532000.0,18627.15,18627.15,18627.15,CE,18400,2023-06-01
2023-05-30 09:21:52+05:30,147,NIFTY01JUN2318400CE,245.6,245.95,245.6,245.95,750,2532000.0,18626.85,18626.85,18625.7,CE,18400,2023-06-01
2023-05-30 09:21:54+05:30,148,NIFTY01JUN2318400CE,245.9,247.0,245.9,247.0,500,2532000.0,18627.65,18627.65,18626.05,CE,18400,2023-06-01
2023-05-30 09:21:56+05:30,149,NIFTY01JUN2318400CE,246.55,247.8,246.55,246.9,3150,2532000.0,18627.7,18627.7,18627.7,CE,18400,2023-06-01
2023-05-30 09:21:58+05:30,150,NIFTY01JUN2318400CE,246.45,247.95,246.45,247.95,5300,2532000.0,18628.95,18628.95,18627.85,CE,18400,2023-06-01
2023-05-30 09:22:00+05:30,151,NIFTY01JUN2318400CE,249.0,249.8,249.0,249.8,6650,2532000.0,18630.2,18630.2,18629.4,CE,18400,2023-06-01
2023-05-30 09:22:02+05:30,152,NIFTY01JUN2318400CE,249.35,250.55,249.35,250.55,6600,2532000.0,18630.7,18630.7,18629.95,CE,18400,2023-06-01
2023-05-30 09:22:04+05:30,153,NIFTY01JUN2318400CE,250.55,251.9,250.4,251.9,4100,2532000.0,18632.05,18632.05,18631.4,CE,18400,2023-06-01
2023-05-30 09:22:06+05:30,154,NIFTY01JUN2318400CE,249.8,252.0,249.8,252.0,3450,2532000.0,18632.6,18632.6,18631.25,CE,18400,2023-06-01
2023-05-30 09:22:08+05:30,155,NIFTY01JUN2318400CE,252.3,253.25,252.3,253.25,3450,2532000.0,18634.65,18634.65,18633.8,CE,18400,2023-06-01
2023-05-30 09:22:10+05:30,156,NIFTY01JUN2318400CE,253.1,253.55,252.85,253.55,2350,2532000.0,18636.1,18636.1,18634.8,CE,18400,2023-06-01
2023-05-30 09:22:12+05:30,157,NIFTY01JUN2318400CE,251.45,251.45,251.45,251.45,1350,2532000.0,18636.75,18636.75,18636.75,CE,18400,2023-06-01
